Bregenz|AT|47.503|9.747|0.02
Graz|AT|47.071|15.439|0.05
Innsbruck|AT|47.269|11.404|0.04
Kitzbuhel|AT|47.446|12.392|0.02
Linz|AT|48.306|14.286|0.04
Salzburg|AT|47.810|13.045|0.04
St Anton am Arlberg|AT|47.130|10.267|0.02
Vienna|AT|48.208|16.373|0.06
Zell am See|AT|47.325|12.795|0.02
Antwerp|BE|51.221|4.400|0.05
Bruges|BE|51.209|3.225|0.03
Brussels|BE|50.850|4.352|0.06
Ghent|BE|51.054|3.717|0.04
Leuven|BE|50.879|4.701|0.03
Plovdiv|BG|42.135|24.750|0.04
Sofia|BG|42.698|23.319|0.05
Varna|BG|43.216|27.917|0.04
Basel|CH|47.560|7.588|0.05
Bern|CH|46.948|7.447|0.04
Geneva|CH|46.204|6.143|0.05
Interlaken|CH|46.686|7.864|0.02
Lucerne|CH|47.050|8.309|0.04
Lugano|CH|46.005|8.951|0.03
Montreux|CH|46.434|6.911|0.03
St Moritz|CH|46.498|9.838|0.02
Zermatt|CH|46.020|7.749|0.02
Zurich|CH|47.377|8.541|0.05
Ayia Napa|CY|34.988|34.000|0.02
Larnaca|CY|34.916|33.624|0.03
Limassol Cyprus|CY|34.684|33.037|0.04
Nicosia Cyprus|CY|35.185|33.382|0.04
Paphos Cyprus|CY|34.776|32.424|0.03
Ceske Budejovice|CZ|48.975|14.480|0.03
Ostrava|CZ|49.836|18.293|0.04
Prague|CZ|50.088|14.421|0.06
Baden-Baden|DE|48.760|8.240|0.03
Berlin|DE|52.520|13.405|0.08
Cologne|DE|50.938|6.960|0.06
Dresden|DE|51.051|13.738|0.05
Dusseldorf|DE|51.228|6.773|0.05
Frankfurt|DE|50.111|8.682|0.05
Freiburg|DE|47.999|7.842|0.04
Garmisch-Partenkirchen|DE|47.492|11.096|0.03
Hamburg|DE|53.551|9.994|0.06
Heidelberg|DE|49.398|8.673|0.03
Konstanz|DE|47.663|9.175|0.03
Leipzig|DE|51.340|12.375|0.05
Mainz|DE|49.993|8.275|0.03
Munich|DE|48.137|11.576|0.07
Nuremberg|DE|49.453|11.077|0.05
Regensburg|DE|49.019|12.097|0.03
Rothenburg ob der Tauber|DE|49.379|10.179|0.02
Stuttgart|DE|48.776|9.182|0.05
Wiesbaden|DE|50.083|8.240|0.04
Aarhus|DK|56.163|10.204|0.04
Copenhagen|DK|55.676|12.568|0.06
Odense|DK|55.396|10.388|0.04
Alicante|ES|38.345|-0.481|0.05
Almeria|ES|36.834|-2.463|0.04
Arrecife Lanzarote|ES|28.964|-13.548|0.05
Barcelona|ES|41.385|2.170|0.07
Bilbao|ES|43.263|-2.935|0.05
Cadiz|ES|36.529|-6.292|0.03
Cordoba|ES|37.889|-4.780|0.04
Girona|ES|41.983|2.825|0.04
Granada|ES|37.177|-3.599|0.04
Ibiza Town|ES|38.907|1.432|0.04
La Coruna|ES|43.362|-8.412|0.04
Las Palmas Gran Canaria|ES|28.123|-15.436|0.05
Madrid|ES|40.417|-3.703|0.07
Mahon Menorca|ES|39.889|4.264|0.04
Malaga|ES|36.721|-4.421|0.05
Marbella|ES|36.510|-4.886|0.04
Murcia|ES|37.987|-1.130|0.04
Palma de Mallorca|ES|39.570|2.650|0.05
Puerto del Rosario Fuerteventura|ES|28.500|-13.862|0.05
Salamanca|ES|40.965|-5.664|0.03
San Sebastian|ES|43.318|-1.981|0.04
Santander|ES|43.462|-3.810|0.04
Seville|ES|37.389|-5.984|0.05
Sitges|ES|41.237|1.807|0.02
Tenerife (Santa Cruz)|ES|28.469|-16.254|0.06
Toledo|ES|39.858|-4.027|0.03
Valencia|ES|39.470|-0.377|0.06
Vigo|ES|42.238|-8.720|0.04
Zaragoza|ES|41.649|-0.889|0.05
Helsinki|FI|60.169|24.938|0.06
Tampere|FI|61.498|23.761|0.04
Turku|FI|60.452|22.267|0.04
Aix-en-Provence|FR|43.529|5.447|0.04
Ajaccio|FR|41.919|8.739|0.04
Annecy|FR|45.899|6.129|0.03
Avignon|FR|43.949|4.806|0.03
Biarritz|FR|43.483|-1.559|0.03
Bordeaux|FR|44.838|-0.579|0.05
Cannes|FR|43.552|7.017|0.03
Chamonix|FR|45.923|6.869|0.03
Colmar|FR|48.080|7.359|0.03
